,Spotify_track_id,artist_x,song_x,ID,peak_position,hit,hit_value,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,005lwxGU1tms6HGELIcUv9,Katy Perry,I Kissed A Girl,I Kissed A GirlKaty Perry,1.0,Yes,1,0.00223,0.699,179640,0.76,0.0,5,0.132,-3.173,1,0.0677,129.996,4,0.696
1,745H5CctFr12Mo7cqa1BMH,The Temptations,My Girl,My GirlThe Temptations,1.0,Yes,1,0.635,0.572,165000,0.418,0.0,0,0.0961,-10.738,1,0.0349,104.566,4,0.694
2,4w2DQnTAbzmduTv0zCT5QD,Olivia Newton-John,I Honestly Love You,I Honestly Love YouOlivia Newton-John,1.0,Yes,1,0.908,0.361,220000,0.265,0.0,10,0.0696,-9.119,1,0.0321,134.687,4,0.136
3,3CKCZ9pfwAfoMZlMncA1Nc,Adele,Set Fire To The Rain,Set Fire To The RainAdele,1.0,Yes,1,0.00382,0.61,241693,0.683,1.79e-06,2,0.125,-3.879,0,0.0253,108.003,4,0.466
4,74jZhGv0fdLaf9q8AZZ15k,Carpenters,Please Mr. Postman,Please Mr. PostmanCarpenters,1.0,Yes,1,0.139,0.664,172733,0.547,1.79e-06,9,0.239,-11.594,1,0.0281,132.943,4,0.964
5,3Cx4yrFaX8CeHwBMReOWXI,Billy Joel,The,TheBilly Joel,1.0,Yes,1,0.0771,0.712,287733,0.967,0.0,7,0.356,-5.206,1,0.047,145.024,4,0.895
6,3DamFFqW32WihKkTVlwTYQ,Owl City,Fireflies,FirefliesOwl City,1.0,Yes,1,0.0294,0.591,228347,0.649,0.0,3,0.133,-6.72,1,0.0417,90.002,4,0.489
7,3Dfy8YIxq89i84t108TvMi,Def Leppard,Love,Love BitesDef Leppard,1.0,Yes,1,0.067,0.59,346960,0.743,0.00093,0,0.0847,-7.078,0,0.0347,129.79,4,0.413
8,4w3tQBXhn5345eUXDGBWZG,Dolly Parton,9 To 5,9 To 5Dolly Parton,1.0,Yes,1,0.416,0.554,162467,0.783,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,4,0.813
9,3EQBI1Fiv7z3QfqTeb9Tqk,The Beatles,Can't Buy Me Love,Can't Buy Me LoveThe Beatles,1.0,Yes,1,0.848,0.844,131176,0.299,0.844,0,0.102,-12.645,1,0.0621,102.088,4,0.566
10,3F2YXxSOC9dPmxXdrh6mYl,Richard Marx,Hold On To The Nights,Hold On To The NightsRichard Marx,1.0,Yes,1,0.656,0.353,316040,0.207,0.0,0,0.0874,-14.718,0,0.0306,144.539,4,0.184
11,3FDAd5vW4P7xe1GBNOLyfD,Air Supply,The One That You Love,The One That You LoveAir Supply,1.0,Yes,1,0.728,0.396,259000,0.479,9.51e-06,5,0.102,-8.072,1,0.0268,109.973,4,0.184
12,4uvjOKsp7mSjrDhWdkLPBY,Tiffany,I Think We're Alone Now,I Think We're Alone NowTiffany,1.0,Yes,1,0.0295,0.755,228840,0.727,0.00702,7,0.0226,-12.041,1,0.0488,130.511,4,0.932
13,3FuL7jThtUAjneBm6puQNk,Olivia Newton-John,Physical,PhysicalOlivia Newton-John,1.0,Yes,1,0.13,0.829,222400,0.737,6.25e-05,4,0.284,-8.181,0,0.0441,123.878,4,0.857
14,0nJW01T7XtvILxQgC5J7Wh,Bruno Mars,When I Was Your Man,When I Was Your ManBruno Mars,1.0,Yes,1,0.932,0.612,213827,0.28,0.0,0,0.088,-8.648,1,0.0434,72.795,4,0.387
15,0mHyWYXmmCB9iQyK18m3FQ,Lionel Richie,Hello,HelloLionel Richie,1.0,Yes,1,0.401,0.562,251107,0.244,0.0,9,0.107,-14.068,0,0.0374,61.881,4,0.0563
16,78TnMTAFmWUWWCgNXR7D3K,Roxette,Listen To Your Heart,Listen To Your HeartRoxette,1.0,Yes,1,0.108,0.539,328093,0.583,0.0,1,0.111,-4.935,0,0.0275,86.063,4,0.337
17,0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams,DreamsFleetwood Mac,1.0,Yes,1,0.0644,0.828,257800,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789
18,72hcFp4tYkd3dbNA9dZ3Pv,Bon Jovi,Bad Medicine,Bad MedicineBon Jovi,1.0,Yes,1,0.048,0.555,316707,0.973,0.0,9,0.0853,-3.804,1,0.035,118.642,4,0.805
19,4yqtwO7MQIIXqoiRBPHAgR,Dire Straits,Money For Nothing,Money For NothingDire Straits,1.0,Yes,1,0.0491,0.667,506400,0.655,0.000894,2,0.0641,-9.339,0,0.0367,134.212,4,0.657
20,35ItUJlMtjOQW3SSiTCrrw,Queen,Crazy Little Thing Called Love,Crazy Little Thing Called LoveQueen,1.0,Yes,1,0.679,0.622,163373,0.781,0.0,2,0.272,-6.756,1,0.0516,76.709,4,0.718
21,2wSAWEYUHkt92X4SBAPqZE,Culture Club,Karma Chameleon,Karma ChameleonCulture Club,1.0,Yes,1,0.225,0.668,252773,0.73,0.0,10,0.188,-7.182,1,0.0366,92.049,4,0.894
22,6r2BECwMgEoRb5yLfp0Hca,Lady Gaga,Born This Way,Born This WayLady Gaga,1.0,Yes,1,0.00327,0.587,260253,0.828,0.0,11,0.331,-5.108,1,0.161,123.907,4,0.494
23,11mwFrKvLXCbcVGNxffGyP,Christina Aguilera,Genie In A Bottle,Genie In A BottleChristina Aguilera,1.0,Yes,1,0.21,0.627,217573,0.8,0.000123,1,0.137,-6.945,1,0.162,175.815,4,0.912
24,11gfsr13S8qsfN48IILcHU,Bread,Make It With You,Make It With YouBread,1.0,Yes,1,0.66,0.629,192200,0.356,0.000617,4,0.173,-11.135,1,0.0246,83.886,4,0.472
25,57JVGBtBLCfHw2muk5416J,Queen,Another One Bites The Dust,Another One Bites The DustQueen,1.0,Yes,1,0.115,0.951,214653,0.53,0.179,5,0.17,-6.594,0,0.178,109.979,4,0.699
26,56BSwBKWHYldQOgYLHiehs,Olivia Newton-John,Magic,MagicOlivia Newton-John,1.0,Yes,1,0.0177,0.7,271667,0.618,2.87e-05,2,0.112,-5.992,1,0.0267,103.816,4,0.614
27,55qBw1900pZKfXJ6Q9A2Lc,Katy Perry,Teenage Dream,Teenage DreamKaty Perry,1.0,Yes,1,0.0132,0.719,227760,0.804,3.02e-06,10,0.139,-4.581,1,0.0355,119.999,4,0.605
28,30y2lhJJee8NRpYxnecyyV,Justin Bieber,Love Yourself,Love YourselfJustin Bieber,1.0,Yes,1,0.835,0.609,233720,0.378,0.0,4,0.28,-9.828,1,0.438,100.418,4,0.515
29,54eZmuggBFJbV7k248bTTt,America,A Horse With No Name,A Horse With No NameAmerica,1.0,Yes,1,0.686,0.654,252240,0.506,0.0155,11,0.155,-17.18,0,0.0535,123.179,4,0.831
30,6wpGqhRvJGNNXwWlPmkMyO,U2,I Still Haven't Found What I'm Looking For,I Still Haven't Found What I'm Looking ForU2,1.0,Yes,1,0.0157,0.566,277477,0.783,0.003,1,0.0806,-9.412,1,0.0363,100.864,4,0.587
31,0xpBr84T3FTm9j4D1MdPtk,Genesis,Invisible Touch,Invisible TouchGenesis,1.0,Yes,1,0.339,0.659,209587,0.878,0.000543,0,0.0731,-5.987,1,0.0298,131.037,4,0.843
32,54b8qPFqYqIndfdxiLApea,Heart,Alone,AloneHeart,1.0,Yes,1,0.638,0.418,218733,0.452,0.00026,1,0.0959,-13.099,1,0.0356,175.088,4,0.168
33,528CAH5pTLq86oZ52fHifA,Cheap Trick,The Flame,The FlameCheap Trick,1.0,Yes,1,0.513,0.629,338800,0.581,2.06e-06,4,0.0755,-11.856,1,0.027,97.074,4,0.359
34,6xkryXuiZU360Lngd4sx13,Mariah Carey,Fantasy,FantasyMariah Carey,1.0,Yes,1,0.139,0.671,243493,0.727,0.0,7,0.123,-7.585,1,0.035,102.358,4,0.801
35,34jO4IkjcYbuZIKeihWdww,David Bowie,Let's Dance,Let's DanceDavid Bowie,1.0,Yes,1,0.00327,0.723,362960,0.719,0.0373,0,0.0845,-10.608,1,0.0355,113.377,4,0.413
36,0vDSWxRlWN0LWsSQdGIPuE,Phil Collins,Two Hearts,Two HeartsPhil Collins,1.0,Yes,1,0.297,0.568,204253,0.912,0.0497,7,0.0717,-3.25,1,0.0366,155.546,4,0.729
37,6yJxCltgtmGxIgKOS6ndnu,Whitney Houston,Greatest Love Of All,Greatest Love Of AllWhitney Houston,1.0,Yes,1,0.484,0.502,291400,0.305,3.55e-06,9,0.117,-16.011,1,0.0339,131.242,4,0.248
38,4uOKFydzAejjSFqYbv1XPt,UB40,Red Red Wine,Red Red WineUB40,1.0,Yes,1,0.00414,0.857,183113,0.468,1.32e-05,1,0.269,-8.53,1,0.0476,89.119,4,0.843
39,12lZTPlXwUtrQuhEty6098,P!nk,Raise Your Glass,Raise Your GlassP!nk,1.0,Yes,1,0.00629,0.7,203333,0.695,0.0,7,0.0319,-4.973,1,0.0897,122.028,4,0.633
40,4t0Pj3iBnSCZv5pDEPNmzG,Bee Gees,Jive Talkin',Jive Talkin'Bee Gees,1.0,Yes,1,0.174,0.815,225173,0.571,0.113,7,0.0778,-12.897,0,0.0578,105.895,4,0.704
41,3IDsegNBHC4pjGCOMTQYlU,Amy Grant,Baby Baby,Baby BabyAmy Grant,1.0,Yes,1,0.426,0.702,236973,0.901,0.00153,1,0.0368,-4.45,1,0.0264,97.862,4,0.919
42,4lCv7b86sLynZbXhfScfm2,Katy Perry,Firework,FireworkKaty Perry,1.0,Yes,1,0.139,0.638,227880,0.826,0.0,8,0.0803,-4.968,1,0.0479,124.072,4,0.649
43,7FlwylpJSe3ea6m1IrkizS,Pet Shop Boys,West End Girls,West End GirlsPet Shop Boys,1.0,Yes,1,0.0114,0.648,245360,0.947,0.0567,4,0.105,-6.617,0,0.0369,113.255,4,0.602
44,3RMeOetCdXttthQK0clPuz,Michael Bolton,How Am I Supposed To Live Without You,How Am I Supposed To Live Without YouMichael Bolton,1.0,Yes,1,0.191,0.541,255667,0.44,0.0,10,0.114,-12.206,1,0.031,140.273,4,0.232
45,3RSpK5Y0y5tl25qvssrwJ6,Mariah Carey,My All,My AllMariah Carey,1.0,Yes,1,0.732,0.4,230933,0.317,5.03e-05,7,0.086,-10.249,0,0.0317,107.845,4,0.108
46,4l2Edgdj4vla02GCh7YyAv,Whitney Houston,So Emotional,So EmotionalWhitney Houston,1.0,Yes,1,0.268,0.698,276667,0.792,5.17e-05,11,0.199,-10.011,0,0.0496,119.082,4,0.796
47,0ZfM5XfJTtFPhOxAERRnNY,Roxette,The Look,The LookRoxette,1.0,Yes,1,0.0531,0.634,237320,0.838,8.34e-06,2,0.0522,-5.363,1,0.0413,95.011,4,0.541
48,4kvdX9zzsix7jYHsRVkVUH,Kelly Clarkson,A Moment Like This,A Moment Like ThisKelly Clarkson,1.0,Yes,1,0.163,0.414,228280,0.572,0.0,8,0.115,-3.918,1,0.0311,145.184,4,0.16
49,0aym2LBJBk9DAYuHHutrIl,The Beatles,Hey Jude,Hey JudeThe Beatles,1.0,Yes,1,0.0112,0.386,425653,0.607,1.38e-05,10,0.088,-7.7,1,0.0261,147.207,4,0.532
50,0ZFqB9g2FujbmMSrjqsL3j,Michael Jackson,Ben,BenMichael Jackson,1.0,Yes,1,0.912,0.439,167387,0.169,0.000456,5,0.115,-10.884,1,0.0301,136.32,4,0.304
51,7GhIk7Il098yCjg4BQjzvb,Rick Astley,Never Gonna Give You Up,Never Gonna Give You UpRick Astley,1.0,Yes,1,0.135,0.727,212827,0.939,4.35e-05,8,0.151,-11.855,1,0.0369,113.33,4,0.916
52,4kflIGfjdZJW4ot2ioixTB,Adele,Someone Like You,Someone Like YouAdele,1.0,Yes,1,0.892,0.559,285040,0.33,0.0,9,0.0975,-8.251,1,0.0285,135.109,4,0.285
53,3VbGCXWRiouAq8VyMYN2MI,The Beatles,Love Me Do,Love Me DoThe Beatles,1.0,Yes,1,0.386,0.52,141693,0.829,6.2e-05,0,0.227,-6.228,1,0.0806,147.997,4,0.744
54,0VwTeYNjcl30DyQlt3GPe0,Glen Campbell,Rhinestone Cowboy,Rhinestone CowboyGlen Campbell,1.0,Yes,1,0.102,0.644,194453,0.633,6.82e-05,0,0.227,-8.006,1,0.0261,115.191,4,0.647
55,4hd8wgCh7ZQWRyXNLnwjTD,Ray Charles,Georgia On My Mind,Georgia On My MindRay Charles,1.0,Yes,1,0.752,0.304,372627,0.289,0.0,4,0.756,-10.963,0,0.0432,147.176,3,0.154
56,0SjnBEHZVXgCKvOrpvzL2k,Gordon Lightfoot,Sundown,SundownGordon Lightfoot,1.0,Yes,1,0.334,0.794,213400,0.427,1.04e-05,11,0.0703,-15.492,1,0.029,105.732,4,0.751
57,4fzsfWzRhPawzqhX8Qt9F3,Kanye West,Stronger,StrongerKanye West,1.0,Yes,1,0.00564,0.617,311867,0.717,0.0,10,0.408,-7.858,0,0.153,103.992,4,0.49
58,3Skwc4sh1QHUGcWrFBFWSF,Roxette,Joyride,JoyrideRoxette,1.0,Yes,1,0.0862,0.651,241733,0.74,0.0,2,0.142,-6.244,1,0.0272,102.233,4,0.615
59,7Dyq1bhhjknLKEGg4k5NLr,Britney Spears,Hold It Against Me,Hold It Against MeBritney Spears,1.0,Yes,1,0.0103,0.648,228827,0.722,0.0,0,0.24,-4.813,0,0.0427,132.973,4,0.389
60,7DD7eSuYSC5xk2ArU62esN,The Beatles,Help!,Help!The Beatles,1.0,Yes,1,0.188,0.534,139560,0.725,0.0,6,0.0994,-7.576,0,0.0332,95.003,4,0.763
61,3OeUlriM0EZHdWleJtjoVr,George Harrison,Got My Mind Set On You,Got My Mind Set On YouGeorge Harrison,1.0,Yes,1,0.465,0.767,234653,0.854,2.03e-06,4,0.485,-6.947,1,0.0426,149.206,4,0.963
62,4sPmO7WMQUAf45kwMOtONw,Adele,Hello,HelloAdele,1.0,Yes,1,0.336,0.481,295493,0.451,0.0,5,0.0872,-6.095,0,0.0347,157.966,4,0.289
63,3KUwXdsplMi4W7K8wXjrjg,Eric Clapton,I Shot The Sheriff,I Shot The SheriffEric Clapton,1.0,Yes,1,0.0934,0.719,263573,0.523,0.00412,7,0.111,-15.483,1,0.0492,94.465,4,0.668
64,79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,I Can't Stop Loving You,I Can't Stop Loving YouRay Charles,1.0,Yes,1,0.815,0.31,256120,0.279,0.0,5,0.318,-13.552,1,0.0308,79.397,3,0.377
65,0ikz6tENMONtK6qGkOrU3c,Wham!,Wake Me Up Before You Go-Go,Wake Me Up Before You Go-GoWham!,1.0,Yes,1,0.272,0.62,231333,0.574,0.0,0,0.0607,-11.893,1,0.0421,81.548,4,0.9
66,0hrBpAOgrt8RXigk83LLNE,Ace Of Base,The Sign,The SignAce Of Base,1.0,Yes,1,0.00928,0.808,191240,0.786,0.0701,4,0.0574,-6.897,0,0.0447,96.987,4,0.899
67,7AEAGTc8cReDqcbPoY9gwo,Taylor Swift,We Are Never Ever Getting Back Together,We Are Never Ever Getting Back TogetherTaylor Swift,1.0,Yes,1,0.00995,0.622,191880,0.682,1.11e-05,7,0.112,-5.891,1,0.113,86.035,4,0.781
68,4qM461TqtpnP4GLRIXwEnW,Phil Collins,Sussudio,SussudioPhil Collins,1.0,Yes,1,0.0529,0.714,263107,0.935,0.0934,5,0.0515,-5.195,1,0.0849,121.232,4,0.725
69,4pbG9SUmWIvsROVLF0zF9s,The Beatles,I Want To Hold Your Hand,I Want To Hold Your HandThe Beatles,1.0,Yes,1,0.386,0.49,145747,0.715,0.0,7,0.311,-5.549,1,0.0476,130.726,4,0.866
70,0gmbgwZ8iqyMPmXefof8Yf,Nickelback,How You Remind Me,How You Remind MeNickelback,1.0,Yes,1,0.00135,0.446,223840,0.764,0.0,10,0.099,-5.042,1,0.033,172.094,4,0.543
71,0gaOEh05070jqV7vXsXUeU,Rod Stewart,Da Ya Think I'm Sexy?,Da Ya Think I'm Sexy?Rod Stewart,1.0,Yes,1,0.00153,0.83,404800,0.91,0.601,9,0.168,-5.378,0,0.0486,119.986,4,0.913
72,3M8FzayQWtkvOhqMn2V4T2,Bill Withers,Lean On Me,Lean On MeBill Withers,1.0,Yes,1,0.782,0.619,258835,0.22,1.19e-05,0,0.124,-13.843,1,0.0667,75.16,4,0.423
73,7AslBsiVLQAGrmFmi79ZeK,Lionel Richie,Truly,TrulyLionel Richie,1.0,Yes,1,0.635,0.326,200507,0.247,6.19e-06,1,0.0838,-13.794,1,0.0356,140.651,4,0.156
74,4pNiE4LCVV74vfIBaUHm1b,Stevie Wonder,Sir Duke,Sir DukeStevie Wonder,1.0,Yes,1,0.16,0.588,232760,0.568,0.0,6,0.0792,-9.766,1,0.0672,106.938,4,0.952
75,0dBatXn1vVUl0jLgXRClwD,Elton John,Bennie And The Jets,Bennie And The JetsElton John,1.0,Yes,1,0.259,0.665,322549,0.673,7.62e-06,0,0.497,-7.95,1,0.0493,132.642,4,0.779
76,7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just The Way You Are,Just The Way You AreBruno Mars,1.0,Yes,1,0.0151,0.637,220733,0.843,0.0,5,0.0876,-5.413,1,0.0432,109.012,4,0.434
77,7CgRXXie9XIxVSkpKi40ID,George Michael,Praying For Time,Praying For TimeGeorge Michael,1.0,Yes,1,0.0471,0.581,280981,0.622,0.0162,10,0.0915,-14.878,1,0.0354,127.814,4,0.257
78,0cELvuwJW1acISUHYB6suj,Mariah Carey,Emotions,EmotionsMariah Carey,1.0,Yes,1,0.0411,0.741,248093,0.752,0.0012,9,0.0233,-7.009,0,0.0359,114.851,4,0.942
